experiment,accuracy,precision,recall,f1
resnet18_frozen,0.46529814271749753,0.5525567188590812,0.4829685777185777,0.4429889430028312
resnet18_finetune,0.9491691104594331,0.9507225062519181,0.949461445961446,0.943950682337742
mobilenet_frozen,0.4506353861192571,0.5465737126587821,0.4680865893365893,0.4301129785428763
efficientnet_finetune,0.9442815249266863,0.9468908128908129,0.950121693121693,0.9440529746522293
